category_id,name,enforce,detail
1,등록금 4분할 납부,O,1학기부터 시행
1,등록금 환원율 극대화,O,기숙사 셔틀버스나 인자셔틀버스 증차
1,장학금 신설?(-),O,신설되는 장학금은 국가장학금이나 문행장학금을 수혜 받지 못하지만 실제적인 가계 운영에 어려움을 겪고 있는 학우들을 대상
2,한중일 글로벌 국토대장정,O,일본 측이 안전을 문제로 불참함에 따라 우리학교와 베이징대 학우가 함께 백두대간을 종주하는  ‘白頭 The Future’로 선회 이행
2,성균체전 확대 및 과별 매칭?(△),O,성대체전의 ‘과별 매칭’은 양 캠 단과대를 연결한 후 한 텐트 안에서 함께 응원하는 것으로 바꿔 진행했다
2,건학기념일 행사 공개화 및 확대,O,인사캠 건기제는 부스를 신청한 모든 학내단체에 공간을 제공하였고 자과캠 건기제의 경우에는 '전통'을 주제로 한 각종 이벤트 및 전통놀이 체험 등을 진행
2,테마여행 공모전,O,‘테마여행공모전’은 인사캠 5팀에 20만 원씩 / 자과캠 16명에 10만 원씩 지원하는 것으로 무사히 이행
3,인자 셔틀버스 증차,O,
3,물품대여 품목 확대,O,대여물품은 캠퍼스마다 다르게 구비
3,성균생활백서 제작,O,교환학생 신청과 장학금 신청 그리고 학내 연락처를 총학생회 페이스북에 게시
3,남학생 휴게실 개선,O,내부청소 및 침구류 세탁
3,타행 ATM기기 설치,X,
3,통합 분실물 센터,△,자과캠은 학교 측과의 협의 과정에서 무산되었고 인사캠은 오프라인 창구 개설
4,페이스북 운영,O,게릴라 이벤트와 성대생활백서 등을 통해 페이스북 운영 그리고 페이스북 메시지를 통해 학우들의 건의사항과 문의사항을 받거나 대리수령 공약을 이행
5,전공설명회 활성화,X,각 학과의 독립성과 전통을 훼손할 수 있다는 우려로 인해 기획 도중 취소
5,휴학생 계절학기 수강,O,
5,경영관 노트북 열람실 리모델링 및 좌석발권 시스템 도입,X,학교 측에서 이미 해당 공간에 대한 용도 변경 계획을 갖고 있다는 것이 밝혀져 공약 이행이 어려워졌다
5,예대 필수교양 전용반,△,타 단과대 학우들에 대한 역차별이 우려돼 학수번호를 이용한 수강신청을 유도하는 선회 이행 방식이 적용
6,공로장학금 근로장학금 전환,X,
7,슈퍼스타 SKK,O,슈퍼스타 SKK에서는 총 30여 개 팀이 참가해 온오프라인 투표를 거쳐 최종 우승자가 선발
7,문화행사,O,대학로 공연 관람을 지원하기 위한 게릴라 티켓 이벤트를 실시했으며 / 각 단과대의 문화 행사를 추가적으로 지원
7,신입생 반별 교류 활동 지원?(X),O,FG(Freshman Guide)와의 협상 과정에서 신입생 지원을 위한 적합한 시기를 놓쳤다는 자체적인 판단 하에 이행되지 않았다.
8,도서관 야외휴게실 개선,O,야외휴게실에 벤치 설치
8,운동장 평탄화 작업,O,우천시를 대비하여 모래함 설치
8,셔틀종점 설치,-,
8,경영관 스크린 설치,-,학교측과 협의가 이뤄진 상태로 내년에 이행될 계획
8,체크카드 혜택 강화,-,
8,스낵자판기 설치/ 기존자판기 유제품 자판기로 교체,O,경영관 지하 1층과 다산경제관 3층 그리고 법학관 3층 등의 건물 내에 7대의 멀티 자판기를 갖춤
8,신축기숙사 셔틀 운행/ 티머니 가격인하/ 티머니 후불카드 추가,O,
8,금잔디식당 통로 개방,X,
8,부동산 커뮤니티 개설/ 과외알선 정보공유,X,부동산 업계와 총학 사이에 공감대가 형성되지 못해 무산
8,학생실당 월식권 운영/ 금잔디식당 메뉴 유지,X,구체적인 실행 계획이 없음
8,흡연부스 설치,X,실효성에 대한 의문 제기 때문에 이행불가
8,학생식당 반값데이,O,
8,택배 대리수령,O, ‘택배 대리수령’ 사업도 진행
8,시험기간 간식배부/ 게릴라 이벤트,O,
8,안심귀가 서비스/ 학교기숙사 순찰,O,
8,도서관 CCTV,O,
9,모니터링 요원 운영,X,저조한 지원율로 인해 무산
10,적립금 규명,O,
11,방학중 핵균 개설,O,하계학기부터 각 캠퍼스별 3개씩 강의가 개설되며 이행
11,교양수업 다양화/ 교차개설,X,해당 강의의 교수자 선정과 교과 운영에 있어 법정 기준이 존재하기에 학우들이 원하는 방식으로만 강의를 개설하기 어렵다는 이유로 성사되지 못했다
11,진학희망자 대학원생 멘토링 실시,X,대학원 측의 예산 부족 문제로 성사되지 못했다
12,등록금 협상 후속조치들에 대한 지속적인 실행 및 감시,O,
13,외부명사 초청 강연,X,자체 선정한 명사의 초빙 과정에서 불발돼 이행되지 못했다
13,문화생활 지원,O,수원 CGV / 남문 메가박스 등과 연계해 영화 관람 시 학우들이 직접적인 할인 혜택을 받을 수 있게 했으며 / 이벤트를 통해 농구 / 야구 등의 운동경기와 뮤지컬 관람 기회를 지속해서 제공
13,동아리 전용 게시판,-,
13,동아리 공연 시 의대 대강당 대여 가능화,O,직접 학생들의 지원을 받는 창구 역할을 담당
13,소강당 리모델링화,O,무대 확장 / 암막커튼 교체
14,도서관 지하 공터 휴식공간 마련,O,
14,교내 대중교통 출입,△,마을버스 업체와 협상에 난항을 겪었고 성균관대역에서 학교로 출발하는 셔틀버스 시범운행중
14,화학관 / 약학관 방면 식당/매점 설치(신건물 증축시),-,
14,학생회관 24시간 개방,-,학교측과 협의가 완료된 상태로 건물 내 모든 문을 유리문으로 교체하고 잠금장치를 설치하는 등의 공사가 완료된 후에 이행될 계획
14,학생증 T-머니 기능 탑재,O,
14,퇴사기간 무료박스,O,3000여개의 이사박스 배분
14,매달 학생회관 특식 제공,X,
14,기숙사비 카드결제,X,신용카드 결제시 부과되는 세금으로 인해 기숙사비 인상이 우려되어 파기
14,프로모션 무료 간식,O,
14,기숙사 룸메이트 지정,O,올해 시범 운영 하였고 내년부터 전면 시행 예정
14,신관 B동 지하 세미나실 개방,O,
15,빈 대자보 설치,O,학우들이 자주 통행하는 장소에 빈 대자보 설치 후 학우들의 의견을 반영하여 총학 사업을 진행
15,총학 카카오톡 설치,O,카카오톡을 통해 학우들의 민원을 받거나 질문에 답변하는 방식으로 이행
15,학내 종합게시판 설치,△,특별기구나 총학생회 게시판을 늘리기보다 일반 학우들이 소통할 수 있는 게시판을 추가로 설치하는 방식으로 선회이행
16,각 단대/ 과/ 동아리/ 소모임 요구안 조사 및 예산 배정,O,
17,복무기간 내 아이캠퍼스 수강가능,X,역차별 등의 문제
17,아이캠퍼스 수업의 질적 향상,△,인사캠 X / 자과캠 O. 자과캠은 교체가 필요하다고 판단되는 과목 보고서 작성해 학교에 제출 - 시행에 대한 확답을 받음. 인사캠은 아이캠퍼스 강의 갱신 기간을 줄여보려 했으나 학교 시스템을 바꾸는 데 한계에 부닥쳐 이행하지 못함.
17,시험기간 대형 강의실을 열람실로 전환,X,학교 측이 제시한 보안 문제
18,자기 추천 장학금 개설,O,
19,교내 ATM 종류 다양화,X,수익률 문제 / 은행이 입점을 꺼려함
19,운동장에 공동물품보관소 설치,-,인사캠:O / 자과캠: 스포츠과학대학과 협의한 후 이행예정
19,인자간 셔틀버스 증차,-,사당 노선에서 운행되는 셔틀 한 대를 인자간 노선으로 이동시킬 예정 / 2016년부터 시행예정
20,중앙운영위원회 회의록 및 총학생회비 사용내역을 총학 홈페이지에 업로드,O,게시 기간 지연 문제가 지적
20,모바일 소통 활성화,△,앱 /커뮤니티는 예산문제로 실패. 카카오톡 옐로아이디와 페이스북 페이지를 개설
21,강의계획서 빠른 입력,X,교수에게 강제수단 없음
21,성적 공시기간과 성적 이의신청기간의 분리,X,교내 시스템 바꾸는 것이라 단기간 개선 불가
21,수강철회기간 연장,X,교내 시스템 바꾸는 것이라 단기간 개선 불가
21,학기별 수강신청,X,현 시스템에 문제가 없다고 판단/ 자체 판단 하에 학교에 따로 건의하지 않았다고 함
22,실험실습비를 포함한 등록금사용내역 공개,X,단과대 행정실과 부족한 논의 / 외부에서 악용할 소지 있음
22,등록금 인하/ 환원율 향상,X,
23,중고책 플리마켓,O,문화 공약을 따로 제시하진 않았음.
23,티켓 할인 행사,O,
23,클래식 음악회 주최,O,
23,통합 대동제'/ '성대한 밤' 축제행사 주최,O,
24,중앙학술정보관 매점 옆에 스마트폰 충전 락커를 설치,O,
24,프린트매니저 5대와 컬러프린터 2대를 확충,O,
24,미끄럼방지 시공과 안전그물 설치,O,
24,흡연권과 혐연권의 공존,X,학생지원팀과 논의 후 경영관 앞 흡연 구역 바닥에 선을 긋는 방식을 통해 선 안에서만 흡연하도록 유도할 예정이라고 했으나 이행하지 못함
24,수선관 24시간 개방,X,개방하는 것 자체는 학교 측과 합의된 상태지만 아직 운영 방법을 결정하지 못해 사업이 중지
24,기숙사 통금시간을 없애겠다,X,학부모들의 반발이 예상돼 무산
24,국제관 매점 설치,X,사업자 등록 문제로 인해 이행이 어렵다고 함
25,공청회,△,당선 직후 한 번 / 이후에는 전학대회로 공청회 대체
25,중운 회의 영상 공개,X,기술적인 문제로 인해 홈페이지에 전혀 올라오지 않음.
25,총학생회비의 투명한 운영,-,1학기 예·결산과 이번 학기 예산안은 이미 공개된 상태 / 2학기 결산안의 경우 제48대 총학생회장단 선거가 끝난 후 홈페이지에 게시될 예정
26,학생회 운영비 지원,O,
26,총학생회 내 여학생위원회 개설,O,
26,총여학생회를 대체하는 학생자치기구 설립,X,문과대 여학위 측과 학생회 측이 요구한 내용이 서로 다름. 예산문제와 공간문제 등에서 이견을 좁히지 못함 - 문과대학 여학생위원회 측은 해당 논의와 관련해 지난 6월 인사캠 중앙운영위원회에 참석하고 총학생회에 성정치위원회(가칭) 활동계획서를 제출했으나 추후에 총학생회 측과 의견 조율과정이 없었다고 알려왔습니다.
27,수강신청 때 수요 많은 강의 계절학기 때 재개설,O,
27,계절학기 전공필수 및 핵심균형교양 강좌 증설,O,
27,도서관 내 인쇄시설 및 컴퓨터 재정비 공약,O,
27,전공교재 E-book 구비,X,예산문제
27,기숙사비 지원 장학금 신설,X,예산문제
27,삼성학술정보관의 일부 공간을 365일 24시간동안 개방,△,보안 문제가 있어 개방기간을 늘리는 것으로 합의
27,수강 철회한 일부 학점을 다음 학기로 이월,X,수강철회 많아지면 악용가능성
27,수강신청 서버 확충,X,기술적 한계
28,중고책 플리마켓 개최,O,
28,각 분야 명사 초청 강연회,O,
28,여러 가지 문화강좌 신설,O,
28,방학 중 국토대장정을 통해 외국 대학과 교류전,O,
28,교내 영화 시사회 상영,△,영화티켓 할인으로 선회 이행
28,대학로 유명연극 교내유치,△,초대권을 배부하거나 연극 할인을 받을 수 있도록 하는 식으로 마무리
28,명확한 컨셉과 즐길 거리 넘치는 축제,△,인사·자과 통합 건학기념제(이하 건기제) ‘ESKARA’
28,총학 주관 운동대회의 주기적 개최,△,인사캠에서 열린 성대체전과 같은 방식으로 매년 1학기에만 진행하기로 결정
29,제1공학관에 남자휴게실을 설치할 공간을 마련,O,
29,단과대별 열람실과 여자휴게실의 훼손된 물품을 교체,O,
29,교내 와이파이 현황을 조사 / 산학협력센터 약학관 화학관 등에 와이파이 보강,O,
29,노후화된 학생회관 2층을 리모델링,O,
29,삼성학술정보관 2층의 유휴공간에 빈백을 설치 - 힐링존 마련,O,
29,학생회관 운영 시간 연장,O,46대 총학의 공약 이행
29,기숙사 생활 관련 여러 신청들 전산화,O,GLS로 헬스장 신청 가능하도록 변경
29,운동장 조명 설치,X,예산문제로 무산 / 족구장에 조명을 설치하는 것으로 대체
29,부동산과의 협약을 통한 중개수수료 인하,X,법적 문제 & 부동산 수익사업과 연관되어 있어 이행 불가능
30,건의함 및 건의 게시판 설치,O,
30,총학생회 서포터즈 모집,O,
30,총학생회 트리 설치,O,
30,총학 서포터즈,O,3월에 모집돼 SNS 및 블로그를 통해 총학의 공약 사업을 홍보하는 역할
30,커뮤니티 재정비 공약,△,일반 학우가 신설한 커뮤니티 ‘성대커뮤’에 홍보 등의 도움을 주는 방식으로 간접 이행
31,교육권 실태조사,O,
31,교육환경개선협의회 설치,X,인사캠 총학생회와 자과캠 총학생회의 협력 부족
32,등록금 인하,X,총 7차의 등록금 심의까지 진행했으나 목표로 했던 등록금 인하 무산
32,등록금 실질 환원율 극대화,O,추가 협상을 진행한 끝에 학교 측으로부터 명목 등록금 1% 인하액에 해당하는 15억 원가량의 금액 환원
32,열린 등록금심의위원회,O,
33,동아리 지원사업 확대,O,동아리방이 없는 소규모 동아리나 공간 부족을 겪는 동아리들의 불편사항 파악/대형 라커/공간 대여 사업 진행
33,동아시아 학술포럼 개최,X,연락한 해외 대학들에서 여건상 불가능하다는 답장 받음
33,북경대와의 정기 체전,△,정기 체전이 아닌 국토 대장정의 프로그램에 운동회 형식으로 진행됨
33,축제 컨텐츠 다양화,O,
34,각종 은행 ATM 추가 설치,X,
34,교내 충전기 신규 설치,O,
34,금연 벤치 / 흡연 부스만들기,X,예산의 부담으로 인해 실패/금연 표지판 설치로 대체
34,남녀 휴게실 청결 유지,△,지속적인 청결 관리 이뤄지지 않음
34,대여사업 확대(물품 위주),O,
34,실외 쓰레기통 추가설치,X,
34,여자화장실 여성용품 자판기 설치,O,
34,점자블록 정비 사업 실시,O,
34,학술동아리용 공동 사물함 및 책장제작,O,
34,화장실 세면대 가방걸이 설치,X,
34,스테이플러 사업 운영,O,
34,단과대별 스탠딩 책상 배부,O,
34,프린트매니저 확충 및 개선,O,
34,총학생회 플로터 운영,O,
34,셔틀버스 사당 도착 시간 준수/ 셔틀버스 후불교통카드 도입,X,정체 교통구간으로 시간 준수 어렵다는 현실적인 문제/후불교통카드 사업 진전 없음
34,셔틀버스 대여가격 인하,X,
34,시험기간 셔틀버스 토/일요일 운행,X,
34,인자간 셔틀버스 증차,X,
34,체육시설 유지보수,O,
34,대운동장 평탄화 작업 주기화,△,일시적이었고 지속적인 유지 보수의 부담으로 부분 이행에 그침
34,풋살장 설치/야구장 대여,X,부지 선정/설치계획 준비됐으나 예산 부족/스포츠단 측의 거부
34,교내리그 후원 사업,△,농구/야구/축구 세 구기 종목 계획했으나 농구 리그 신설에 집중하여 부분 이행
34,볼링매니아 제휴,O,
34,물품 배부 및 제휴 할인,O,외부업체들과의 프로모션
34,공동 물품 구매/엠티 물품 공동구매,O,
34,교내단체 교외 장소 대관기회 확대,O,
34,기숙사 아침 식사시간 연장,X,
34,기숙사 해충 관리 주기적 확인,O,
34,강의실 배치도 층별 배치,O,
34,대회 실적에 따른 포상제도 확립,X,
34,군 복무 중인 학우들에게 학교 소식지 정기발송/물품 보내기,-,이번 달 중으로 시행될 예정
34,성범죄 익명 설문조사 주기적 실시 및 성평등센터 연계 캠페인 실시,O,
34,옥외 게시판 증설,X,
34,우리대학 로스쿨 재학생들의 무료 법률 지원,O,
34,학생회관 식당 메뉴 개선,X,
34,정기 설문조사 실시/택배 대리 수령,O,
34,인턴활동 학점인정/창업휴학 방법 공지,O,
34,주거지 정보 '밤발마을 밤발방',O,
34,총학생회 홈페이지 재활성화,X,
34,MS오피스 제휴,O,
35,각종 초빙 강연과 특강,O,
35,공지사항 온/오프라인 동시공지,O,SNS를 하지 않은 학우들을 위한 대자보/포스터 공지
35,성균 人for메이션 신설,O,페이스북 페이지에 코너 신설하여 연계전공/강연 등 학우들이 쉽게 접하기 힘든 정보에 대한 궁금증 해소
35,예/결산 공지기간 및 내용 의무화,O,
35,의견수렴 정기 설문조사,X,교내 카페 및 매점에 대한 설문조사와 1학기 종합조사를 실시했지만 일회성에 그침
35,총학생회 운영계좌 열람 시스템,X,
35,총학생회 회의실 개방,O,
35,킹고 SNS 활성화,X,
35,학생 건의함 설치,O,
36,학기별 수강신청 분리,O,
36,수강신청 예비번호제,O,
37,소강당 장비 개선,X,세부적인 계획이 구성됐으나 예산의 부담으로 진행이 어려울 것으로 보임
38,가로등 추가 설치,O,산학협력관 가로등 설치
38,도서관 지하 1층 자판기 생필품 추가,O,
38,디도  2층 소파증설,O,
38,자전거 펌프 설치 및 자전거 보관소 재정비,△,수원시 이동식 자전거 정비소를 교내 유치하는 것으로 선회이행
38,제1공학관 지하 환경개선,O,
38,약학관 카페 설치,X,기획단계에 머물러 있음
38,인사캠 학우의 학생회관 사물함 대여,O,
38,디도 지하 1층 공간 활용,O,
39,비대칭 시간표 완화,O,
39,강의계획서 업로드 의무화,X,
39,교양과목 TO 조정,O,
39,등록금심의위원회 구조 개편,X,
39,정책이음제,O,
39,성적 이의신청 답변 의무화,X,
39,책가방 6학점 추가 담기,O,
39,강의평가 질문 다변화,△,성평등문항 추가
39,조기 취업자 출석 인정,O,
39,아이캠퍼스 강의저장수업 확대,X,
39,계절학기 수강신청 시간 8시로 변경,O,
39,군 복무 중 학점 취득,X,문제 은행식 문제로 치르는 시험과 P/F 방식의 성적 부여 계획
39,시험 날짜 사전 공지,-,성대신문에서 확인이 불가능함
40,기숙사비 분할납부 시행,X,
41,환원율 확대를 통한 실질 등록금 인하,-,성대신문에서 확인이 불가능함
41,징검다리 장학금 트랙 세분화 및 지급 비율 재설정과 낙후 시설 개선,-,성대신문에서 확인이 불가능함
42,2017 국토대장정,O,
42,2017 글로벌 프로그램,O,
43,성 평등 교육 강화,-,성대신문에서 확인이 불가능함
43,교내 흡연 구역 지정,-,
43,Wi-Fi 개선,O,
43,인자셔틀 증차,O,
44,‘학생회비 이원화’를 통해 단과대와 특별자치기구의 학생회비 분리,-,성대신문에서 확인이 불가능함
45,등록금심의위원회에서의 협상에서 예산 확보 / 교강사와 강의 충원,O,
45,교수 /교직원 /학생이 함께 참여하는 교육환경개선협의회 구성,-,성대신문에서 확인이 불가능함
46,기숙사 통금 해제(시범운영),O,
47,성균관대 힐링 돗자리 페스티벌(금잔디 대소동),O,
47,입대 및 복학을 돕는 설명회,X,
47,전공 박람회,X,모든 단위의 일정을 맞추기가 쉽지 않아 미뤄진 상태
47,진로 강연회,X,
47,축제 및 시험 기간 건물 개방 확대,O,
47,통합 플리마켓 개최,X,모든 단위의 일정을 맞추기가 쉽지 않아 미뤄진 상태
48,법률 자문 프로그램,-,이행 예정
48,전 열람실 철야 운영,O,
48,제1열람실 일부 책상 칸막이 설치,O,
48,경제 / 경영관 통로 블라인드 추가 설치,O,
48,노천극장 계단 추가 설치,O,
48,노트북 열람실 증대,O,
48,운동 환경 개선,O,
48,학생회관 1층 샤워실 개선,O,
48,화장실 몰래카메라 점검,O,
48,시험 기간 금잔디식당 / 셔틀버스 추가 운영,O,
48,제휴 업체 확충,O,
48,투고 팩-기숙사식,-,
48,투고 팩-학식,O,
48,해외 취업 지원 프로그램,X,
48,공간 대관 시스템 개선,X,
48,남자휴게실 신설,O,
48,수선관 1층 출입문 일요일 개방,O,
48,양현관 ATM기 신설,O,
48,여자휴게실 환경 개선,O,
48,중도 1층 프린트매니저 설치,O,
48,중도 책상 교체,-,
48,중앙난방 운영 방식 개선,X,
48,쪽문 계단 미끄럼 방지,O,
48,치안 사각지대 제거(CCTV 설치),O,
48,학생회관 방충망 설치,X,
49,총학 중간평가제(소통 부스),O,
49,총학 홈페이지 개설,X,기업의 후원을 통해 추진할 계획이었으나 현실적인 어려움이 있어 일시 중단
49,통합 애플리케이션 개발,-,
49,투명한 예 /결산,O,
49,평택사이언스파크 간담회 개최,O,
50,실험 실습비 명시,-,성대신문에서 확인이 불가능함
51,가격협상위원회,-,성대신문에서 확인이 불가능함
51,식당모니터링단 운영,-,성대신문에서 확인이 불가능함
52,인자전 활성화,O,
52,제휴사업 확대,O,
52,주기적 명사 초청 강연,X,
52,축제 TFT 구성,O,
52,해오름식 컨텐츠 다양화,O,
53,과일 공동구매,O,
53,동아리방 환경개선,X,
53,디도 발권시스템 개선(컴넷),O,
53,디도 사물함 대여료 인하,O,
53,분실물 센터 운영,△,유실물법 제10조에 따라 습득물은 즉시 건축물의 관리자에게 전달해야 하므로 각 단과대학 행정실로 습득물이 들어오면 신속하게 학생지원팀(팀장 이재원)에 전달되도록 협조공문을 발송하고 / 학우들에게 학생지원팀이 분실물 관리부처임을 홍보하는 것으로 방향 선회
53,장애인 이용권 보장,O,
53,중고 도서 플리마켓,O,
53,MT 지원 사업,-,
53,가로등 교체 및 추가설치,O,
53,강의실 내 멀티탭 비치,X,
53,디도 1층 팀플존 안내데스크 신설,X,
53,디도 5층 개인석 확대,-,
53,디도 1층 여유공간 활용,X,
53,복지회관 재계약,O,
53,기숙사 전자레인지 추가 설치,X,
53,농구장 바닥 공사,O,
53,디도 남자 화장실 가림막 설치,O,
53,디도 빈백 추가 구비,O,
53,소강당 리모델링,O,
53,생필품 자판기 설치,-,
53,여자 화장실 비상벨 설치,O,
53,족구장 야간 개장,O,족구장 야간개장과 스탠드 사용법을 총학 페이스북에 게시
53,충전기 교체,△,기존 업체와 계약기간이 남아있어 모델 교체는 어렵고 노후화된 충전기에 한해
53,흡연구역 지정,X,
54,게시판 신설과 점검 및 보수 ,X,
54,복학생 적응 도우미 / OT,O,
54,익명 제보함 설치 및 활성화,X,
54,카드뉴스 사업보고,O,
54,일반 학우 초대: 단과대로 인준을 받지 못한 자과캠의 일부 학과를 위한 공약,O,
54,집행국별 소통창구 마련,X,
54,플로터 출력사업 확대,O,
54,페이스북 페이지 활성화,O,
54,통합 애플리케이션 개발,O,
